,Speculum Type,Spec Ang,Spec Ht,Size,Material,Material Type,Method,mmHg,wd,wd,wd,wd,wd,wd,wd,ht,ht,ht,ht,ht,ht,ht,wd_rel,wd_rel,wd_rel,wd_rel,wd_rel,wd_rel,wd_rel,ht_rel,ht_rel,ht_rel,ht_rel,ht_rel,ht_rel,ht_rel,Vertical Height,Vertical Height,Vertical Height,Vertical Height,Vertical Height,Vertical Height,Vertical Height
,,,,,,,,,mean,sem,std,amin,median,amax,count_nonzero,mean,sem,std,amin,median,amax,count_nonzero,mean,sem,std,amin,median,amax,count_nonzero,mean,sem,std,amin,median,amax,count_nonzero,mean,sem,std,amin,median,amax,count_nonzero
0,White,3,0,M,Vinyl,Glove,Middle,0,265.6666666666667,38.86014810974235,67.3077509157254,188.0,302.0,307.0,3,84.66666666666667,55.6936062558152,96.46415569180779,26.0,32.0,196.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.1166666666666667,0.09279607271383372,0.16072751268321595,1.0,1.05,1.3,3
1,White,3,0,M,Vinyl,Glove,Middle,40,250.66666666666666,43.348715218690295,75.0821772016058,164.0,292.0,296.0,3,108.0,77.50483855863452,134.24231821597837,29.0,32.0,263.0,3,0.06546235299679315,0.032205125724196836,0.055780914018452345,0.019867549668874163,0.04885993485342022,0.12765957446808507,3,-0.152407116692831,0.10040100845921274,0.1738996477825091,-0.34183673469387754,-0.11538461538461542,0.0,2,1.1166666666666667,0.09279607271383372,0.16072751268321595,1.0,1.05,1.3,3
2,White,3,0,M,Vinyl,Glove,Middle,80,269.0,6.658328118479393,11.532562594670797,258.0,268.0,281.0,3,109.33333333333333,73.90158621061151,128.00130207671066,30.0,41.0,257.0,3,-0.06546212351046159,0.1819028712178001,0.31506501499188816,-0.42553191489361697,0.06953642384105962,0.1596091205211726,3,-0.24877354788069073,0.04824598468015271,0.08356449672721418,-0.31122448979591844,-0.28125,-0.15384615384615374,3,1.1166666666666667,0.09279607271383372,0.16072751268321595,1.0,1.05,1.3,3
3,White,3,0,M,Vinyl,Glove,Middle,120,248.0,8.544003745317532,14.798648586948742,231.0,255.0,258.0,3,105.33333333333333,73.41510592362977,127.1586935027776,26.0,38.0,252.0,3,0.010281905599420585,0.19314292571708233,0.3345333604644881,-0.37234042553191493,0.1556291390728477,0.247557003257329,3,-0.15773809523809526,0.08381028476386149,0.14516367140782385,-0.2857142857142858,-0.1875,0.0,2,1.1166666666666667,0.09279607271383372,0.16072751268321595,1.0,1.05,1.3,3
4,White,3,0,M,Vinyl,Glove,Middle,160,227.66666666666666,24.03007375029141,41.621308645131926,188.0,224.0,271.0,3,62.666666666666664,47.75399925078993,82.71235296697425,10.0,20.0,158.0,3,0.06878412939846894,0.25700403729782517,0.44514405035016,-0.4414893617021276,0.2703583061889251,0.3774834437086093,3,0.39475405546834114,0.12207882475108411,0.21144672699717468,0.19387755102040816,0.375,0.6153846153846154,3,1.1166666666666667,0.09279607271383372,0.16072751268321595,1.0,1.05,1.3,3
5,White,3,0,M,Vinyl,Glove,Middle,200,229.66666666666666,25.181562920341367,43.61574639202376,188.0,226.0,275.0,3,58.666666666666664,47.83768853576064,82.85730706059263,4.0,18.0,154.0,3,0.05952037815675659,0.26319559459900943,0.45586814217378513,-0.4627659574468086,0.26384364820846906,0.3774834437086093,3,0.4993131868131868,0.1850044923469267,0.32043718037336455,0.2142857142857143,0.4375,0.8461538461538461,3,1.1166666666666667,0.09279607271383372,0.16072751268321595,1.0,1.05,1.3,3
6,White,3,0,None,None,None,None,0,291.3333333333333,16.17954813268213,28.023799409311597,260.0,300.0,314.0,3,287.3333333333333,80.41835058685992,139.2886690773278,128.0,348.0,386.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.1,0.0,0.0,4.1,4.1,4.1,3
7,White,3,0,None,None,None,None,40,98.66666666666667,27.72083051505572,48.01388688008224,50.0,100.0,146.0,3,394.0,1.1547005383792517,2.0,392.0,394.0,396.0,3,0.6612499319505689,0.08911353173525373,0.15434916460736098,0.535031847133758,0.6153846153846154,0.8333333333333334,3,-0.7471593164989181,0.674136748315644,1.167639099331968,-2.09375,-0.13218390804597702,-0.015544041450777257,3,4.1,0.0,0.0,4.1,4.1,4.1,3
8,White,3,0,None,None,None,None,80,44.666666666666664,16.424913326339894,28.448784391135824,12.0,58.0,64.0,3,360.6666666666667,2.4037008503093267,4.16333199893226,356.0,362.0,364.0,3,0.8443671402907071,0.05808301533286093,0.10060273361331723,0.7769230769230769,0.7961783439490446,0.96,3,-0.5980395623647589,0.6154759597138977,1.066035633061686,-1.828125,-0.02298850574712641,0.05699481865284972,3,4.1,0.0,0.0,4.1,4.1,4.1,3
