Day Ct,Set Ct,Trial Ct,Set Trial Ct,Speculum Type,Size,Brand,Material,Material Type,Method,Hand,Spec Ang,Spec Ht,Opening Distance,wd_rel.0,wd_rel.20,wd_rel.40,wd_rel.60,wd_rel.80,wd_rel.120,wd_rel.160,wd_rel.200,ht_rel.0,ht_rel.20,ht_rel.40,ht_rel.60,ht_rel.80,ht_rel.120,ht_rel.160,ht_rel.200
1,1,1,1,White,M,STRONG-Black,Nitrile,Glove,Middle,A,5,0,2.7,0.0,,0.2607003891050583,,0.5330739299610895,0.6498054474708171,0.7470817120622568,0.8287937743190661,0.0,,-0.09961685823754785,,0.03448275862068961,0.04214559386973182,-0.3831417624521072,0.46360153256704983
1,1,2,2,White,M,STRONG-Black,Nitrile,Glove,Middle,A,5,0,3.2,0.0,,0.24187725631768953,,0.4729241877256317,0.5812274368231047,0.6967509025270758,0.7581227436823105,0.0,,0.09053497942386834,,0.2098765432098766,0.028806584362139898,0.4032921810699589,0.5020576131687242
1,1,3,3,White,M,STRONG-Black,Nitrile,Glove,Middle,A,5,0,2.7,0.0,,0.13215859030837007,,0.4096916299559471,0.6387665198237886,0.7356828193832599,0.7533039647577092,0.0,,0.23873873873873874,,0.2792792792792793,0.25225225225225223,0.30180180180180183,0.3873873873873874
1,5,8,1,White,M,Primacare,Vinyl,Glove,Middle,A,3,0,1.3,0.0,,0.04885993485342022,,0.1596091205211726,0.247557003257329,0.2703583061889251,0.26384364820846906,0.0,,-0.34183673469387754,,-0.31122448979591844,-0.2857142857142858,0.19387755102040816,0.2142857142857143
1,5,9,2,White,M,Primacare,Vinyl,Glove,Middle,A,3,0,1.05,0.0,,0.019867549668874163,,0.06953642384105962,0.1556291390728477,0.3774834437086093,0.3774834437086093,0.0,,0.0,,-0.28125,-0.1875,0.375,0.4375
1,5,10,3,White,M,Primacare,Vinyl,Glove,Middle,A,3,0,1.0,0.0,,0.12765957446808507,,-0.42553191489361697,-0.37234042553191493,-0.4414893617021276,-0.4627659574468086,0.0,,-0.11538461538461542,,-0.15384615384615374,0.0,0.6153846153846154,0.8461538461538461
1,6,11,1,White,S,STRONG-Black,Nitrile,Glove,Middle,A,5,0,2.75,0.0,,0.38013698630136983,,0.5924657534246576,0.7226027397260274,0.8082191780821918,0.8698630136986302,0.0,,-0.32093023255813957,,-0.2697674418604652,-0.20465116279069773,-0.1116279069767443,-0.018604651162790642
1,6,16,2,White,S,STRONG-Black,Nitrile,Glove,Middle,A,5,0,2.7,0.0,,0.4534883720930233,,0.6337209302325582,0.8837209302325582,0.9418604651162791,0.9854651162790697,0.0,,-0.3666666666666667,,-0.18666666666666676,-0.21333333333333337,-0.08666666666666667,0.00666666666666671
1,6,19,3,White,S,STRONG-Black,Nitrile,Glove,Middle,A,5,0,2.75,0.0,,0.16785714285714282,,0.375,0.5214285714285714,0.6142857142857143,0.6964285714285714,0.0,,0.029166666666666674,,0.15833333333333333,0.26249999999999996,0.3375,0.4208333333333333
1,7,12,1,White,L,STRONG-Black,Nitrile,Glove,Middle,A,5,0,3.2,0.0,,0.38113207547169814,,0.6037735849056604,0.7358490566037736,0.8226415094339623,0.879245283018868,0.0,,0.04150943396226414,,0.13207547169811318,0.21886792452830184,0.28301886792452835,0.369811320754717
1,7,17,2,White,L,STRONG-Black,Nitrile,Glove,Middle,A,5,0,3.0,0.0,,0.24087591240875916,,0.43430656934306566,0.5547445255474452,0.6496350364963503,0.7226277372262774,0.0,,0.08571428571428574,,0.19999999999999996,0.2979591836734694,0.38367346938775515,0.4653061224489796
1,7,20,3,White,L,STRONG-Black,Nitrile,Glove,Middle,A,5,0,3.2,0.0,,0.16296296296296298,,0.3666666666666667,0.5037037037037038,0.6074074074074074,0.6703703703703704,0.0,,0.09756097560975607,,0.20731707317073167,0.3089430894308943,0.4024390243902439,0.47560975609756095
1,8,13,1,White,M,STRONG-Black,Nitrile,Glove,Two,A,5,0,5.2,0.0,,0.47435897435897434,,0.7094017094017093,0.8547008547008547,0.9316239316239316,0.9871794871794872,0.0,,0.019230769230769273,,0.06730769230769229,0.13461538461538458,0.1891025641025641,0.24038461538461542
