,Day Ct,Day Num,Set Ct,Trial Ct,Set Trial Ct,Speculum Type,Spec Ang,Spec Ht,Size,Brand,Material,Material Type,Method,Opening Height,Trial Num,mmHg,Filename,Used,Notes,url,Label ID,wd,ht,wd_start,ht_start,wd_rel,ht_rel
12,1,13,1,3,3,White,5,0,M,STRONG-Black,Nitrile,Glove,Middle,2.7,1,0,20220423_143756.jpg,y,,https://storage.labelbox.com/cl2ceiao35hbj0zahefxyfyll%2F6d1fb1b4-5386-82e4-966f-d844f324b3a9-20220423_143756.jpg?Expires=1662175964327&KeyName=labelbox-assets-key-3&Signature=xPRKeQmav54AGcc9xhkC_sN_7Q0,cl2cf9clx5imo0zcab25j5o7b,227.0,222.0,866.0,2432.0,0.0,0.0
13,1,14,1,3,3,White,5,0,M,STRONG-Black,Nitrile,Glove,Middle,2.7,2,40,20220423_143810.jpg,y,,https://storage.labelbox.com/cl2ceiao35hbj0zahefxyfyll%2Fa3127d07-4bb7-9be8-5cd7-d8c6e6ef23ab-20220423_143810.jpg?Expires=1662175964327&KeyName=labelbox-assets-key-3&Signature=jK7lwKhgRZjQbUiPfIB5FUWO2RY,cl2cfa6ut5oux10cd6lj0bpya,197.0,169.0,849.0,2460.0,0.13215859030837007,0.23873873873873874
14,1,15,1,3,3,White,5,0,M,STRONG-Black,Nitrile,Glove,Middle,2.7,3,80,20220423_143815.jpg,y,,https://storage.labelbox.com/cl2ceiao35hbj0zahefxyfyll%2F63112db6-64f3-d7c4-21a6-83e8ee92da07-20220423_143815.jpg?Expires=1662175964327&KeyName=labelbox-assets-key-3&Signature=PBzImJFVaITMQC00BhgJSpiLo_o,cl2ckyvt85zjo0zahgmls6rhu,134.0,160.0,878.0,2432.0,0.4096916299559471,0.2792792792792793
15,1,16,1,3,3,White,5,0,M,STRONG-Black,Nitrile,Glove,Middle,2.7,4,120,20220423_143824.jpg,y,,https://storage.labelbox.com/cl2ceiao35hbj0zahefxyfyll%2Fd5918f5a-1363-7347-cd34-924205589432-20220423_143824.jpg?Expires=1662175964327&KeyName=labelbox-assets-key-3&Signature=BHY0clvQaeqUtJCXvxlaG5sip10,cl2ckxsye60720zamftz14dgz,82.0,166.0,900.0,2400.0,0.6387665198237886,0.25225225225225223
16,1,17,1,3,3,White,5,0,M,STRONG-Black,Nitrile,Glove,Middle,2.7,5,160,20220423_143829.jpg,y,,https://storage.labelbox.com/cl2ceiao35hbj0zahefxyfyll%2F388a3201-70c0-2ad9-9d16-f1ae9c146436-20220423_143829.jpg?Expires=1662175964327&KeyName=labelbox-assets-key-3&Signature=9Xi4LCFOR3uNqKNNpiKfZxNszjs,cl2ckxt4v5zv40zdf3esaag11,60.0,155.0,912.0,2389.0,0.7356828193832599,0.30180180180180183
17,1,18,1,3,3,White,5,0,M,STRONG-Black,Nitrile,Glove,Middle,2.7,6,200,20220423_143834.jpg,y,,https://storage.labelbox.com/cl2ceiao35hbj0zahefxyfyll%2F2fcaf846-c9d8-38e6-7159-93152bb7565d-20220423_143834.jpg?Expires=1662175964328&KeyName=labelbox-assets-key-3&Signature=nqrevRQos-8FliA7hcmS-FYM_n8,cl2ckzghy62040zag2ouj4k7m,56.0,136.0,918.0,2386.0,0.7533039647577092,0.3873873873873874
18,1,22,5,8,1,White,3,0,M,Primacare,Vinyl,Glove,Middle,1.3,1,0,20220423_145106.jpg,y,,https://storage.labelbox.com/cl2ceiao35hbj0zahefxyfyll%2F391640d3-8c0f-4480-32ff-849ded96f892-20220423_145106.jpg?Expires=1662175964328&KeyName=labelbox-assets-key-3&Signature=ISgb-yOud-8KHhJePCNDIWxLq9k,cl2cl0lha5xzk0zca1xkp78z7,307.0,196.0,752.0,2124.0,0.0,0.0
19,1,23,5,8,1,White,3,0,M,Primacare,Vinyl,Glove,Middle,1.3,2,40,20220423_145116.jpg,y,,https://storage.labelbox.com/cl2ceiao35hbj0zahefxyfyll%2Fb1c58ce7-d168-8ec2-c90e-d11353cf558a-20220423_145116.jpg?Expires=1662175964328&KeyName=labelbox-assets-key-3&Signature=fvP-2F9PqLJJrnW_ggy_mmHCPt8,cl2cl168e5y0n0zcadt5sehm6,292.0,263.0,766.0,2044.0,0.04885993485342022,-0.34183673469387754
20,1,24,5,8,1,White,3,0,M,Primacare,Vinyl,Glove,Middle,1.3,3,80,20220423_145124.jpg,y,,https://storage.labelbox.com/cl2ceiao35hbj0zahefxyfyll%2F4336b0e1-bc99-a8ca-3bf1-46e9e5457de7-20220423_145124.jpg?Expires=1662175964328&KeyName=labelbox-assets-key-3&Signature=gF_x1qcpZMqBT0Hi_u2pfPS0ipY,cl2cl2d6w5y290zcafu4v8p5b,258.0,257.0,770.0,2076.0,0.1596091205211726,-0.31122448979591844
21,1,25,5,8,1,White,3,0,M,Primacare,Vinyl,Glove,Middle,1.3,4,120,20220423_145129.jpg,y,,https://storage.labelbox.com/cl2ceiao35hbj0zahefxyfyll%2F6aa2dbfb-261e-d19f-72b7-073484d15ac8-20220423_145129.jpg?Expires=1662175964328&KeyName=labelbox-assets-key-3&Signature=lILne9LES3JbyDO8nrN9tG-mq90,cl2cl37qi623z0zaggaj12vyh,231.0,252.0,784.0,2078.0,0.247557003257329,-0.2857142857142858
