Overall Num,Datetime,Day Ct,Day Num,Set Ct,Trial Ct,Set Trial Ct,Speculum Type,Spec Ang,Spec Ht,Size,Brand,Material,Material Type,Method,Opening Height,Trial Num,mmHg,Filename,Used,Notes
181,2022-04-23 17:22:35,1,181,17,36,3,White,3,0,None,None,None,None,None,4.1,2,40,20220423_172235.jpg,y,
182,2022-04-23 17:22:39,1,182,17,36,3,White,3,0,None,None,None,None,None,4.1,3,80,20220423_172239.jpg,y,
183,2022-04-23 17:22:42,1,183,17,36,3,White,3,0,None,None,None,None,None,4.1,4,120,20220423_172242.jpg,y,
184,2022-04-23 17:22:46,1,184,17,36,3,White,3,0,None,None,None,None,None,4.1,5,160,20220423_172246.jpg,y,
185,2022-04-23 17:22:50,1,185,17,36,3,White,3,0,None,None,None,None,None,4.1,6,200,20220423_172250.jpg,y,
186,2022-04-23 00:00:00,1,186,18,37,3,White,5,0,None,None,None,None,None,5.4,1,0,,y,
187,2022-08-02 09:20:34,2,1,19,38,1,White,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,,1,0,20220802_092034.jpg,x,T1 white spec
188,2022-08-02 09:20:46,2,2,19,38,1,White,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,,2,20,20220802_092046.jpg,x,
189,2022-08-02 09:20:51,2,3,19,38,1,White,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,,3,40,20220802_092051.jpg,x,
190,2022-08-02 09:20:57,2,4,19,38,1,White,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,,4,60,20220802_092057.jpg,x,
191,2022-08-02 09:21:01,2,5,19,38,1,White,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,,5,80,20220802_092101.jpg,x,
192,2022-08-02 09:21:07,2,6,19,38,1,White,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,,6,120,20220802_092107.jpg,x,
193,2022-08-02 09:21:12,2,7,19,38,1,White,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,,7,160,20220802_092112.jpg,x,
194,2022-08-02 09:21:17,2,8,19,38,1,White,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,,8,200,20220802_092117.jpg,x,
195,2022-08-02 09:30:14,2,9,19,39,1,White,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,2.8,1,0,20220802_093014.jpg,y,T1 white spec redo
196,2022-08-02 09:30:20,2,10,19,39,1,White,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,2.8,2,20,20220802_093020.jpg,y,
197,2022-08-02 09:30:23,2,11,19,39,1,White,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,2.8,3,40,20220802_093023.jpg,y,
198,2022-08-02 09:30:27,2,12,19,39,1,White,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,2.8,4,60,20220802_093027.jpg,y,
199,2022-08-02 09:30:32,2,13,19,39,1,White,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,2.8,5,80,20220802_093032.jpg,y,
200,2022-08-02 09:30:36,2,14,19,39,1,White,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,2.8,6,120,20220802_093036.jpg,y,
201,2022-08-02 09:30:40,2,15,19,39,1,White,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,2.8,7,160,20220802_093040.jpg,y,
202,2022-08-02 09:30:45,2,16,19,39,1,White,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,2.8,8,200,20220802_093045.jpg,y,
203,2022-08-02 10:05:31,2,17,20,40,1,Blue,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,2.5,1,0,20220802_100531.jpg,y,T1 blue spec
204,2022-08-02 10:05:46,2,18,20,40,1,Blue,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,2.5,2,20,20220802_100546.jpg,y,
205,2022-08-02 10:05:50,2,19,20,40,1,Blue,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,2.5,3,40,20220802_100550.jpg,y,
206,2022-08-02 10:05:54,2,20,20,40,1,Blue,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,2.5,4,60,20220802_100554.jpg,y,
207,2022-08-02 10:05:59,2,21,20,40,1,Blue,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,2.5,5,80,20220802_100559.jpg,y,
208,2022-08-02 10:06:02,2,22,20,40,1,Blue,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,2.5,6,120,20220802_100602.jpg,y,
209,2022-08-02 10:06:09,2,23,20,40,1,Blue,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,2.5,7,160,20220802_100609.jpg,y,
210,2022-08-02 10:06:14,2,24,20,40,1,Blue,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,2.5,8,200,20220802_100614.jpg,y,
211,2022-08-02 10:15:46,2,25,19,41,2,White,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,2.6,1,0,20220802_101546.jpg,y,T2 white spec
212,2022-08-02 10:15:53,2,26,19,41,2,White,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,2.6,2,20,20220802_101553.jpg,y,
213,2022-08-02 10:15:57,2,27,19,41,2,White,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,2.6,3,40,20220802_101557.jpg,y,
214,2022-08-02 10:16:00,2,28,19,41,2,White,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,2.6,4,60,20220802_101600.jpg,y,
215,2022-08-02 10:16:04,2,29,19,41,2,White,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,2.6,5,80,20220802_101604.jpg,y,
216,2022-08-02 10:16:11,2,30,19,41,2,White,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,2.6,6,120,20220802_101611.jpg,y,
217,2022-08-02 10:16:17,2,31,19,41,2,White,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,2.6,7,160,20220802_101617.jpg,y,
218,2022-08-02 10:16:22,2,32,19,41,2,White,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,2.6,8,200,20220802_101622.jpg,y,
219,2022-08-02 10:21:58,2,33,21,42,2,Green,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,2.7,1,0,20220802_102158.jpg,y,T2 green spec
220,2022-08-02 10:22:06,2,34,21,42,2,Green,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,2.7,2,20,20220802_102206.jpg,y,
221,2022-08-02 10:22:10,2,35,21,42,2,Green,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,2.7,3,40,20220802_102210.jpg,y,
222,2022-08-02 10:22:14,2,36,21,42,2,Green,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,2.7,4,60,20220802_102214.jpg,y,
223,2022-08-02 10:22:20,2,37,21,42,2,Green,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,2.7,5,80,20220802_102220.jpg,y,
224,2022-08-02 10:22:26,2,38,21,42,2,Green,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,2.7,6,120,20220802_102226.jpg,y,
225,2022-08-02 10:22:32,2,39,21,42,2,Green,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,2.7,7,160,20220802_102232.jpg,y,
226,2022-08-02 10:22:44,2,40,21,42,2,Green,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,2.7,8,200,20220802_102244.jpg,y,
227,2022-08-02 10:26:32,2,41,20,43,2,Blue,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,,1,,20220802_102632.jpg,x,T2 blue spec
228,2022-08-02 10:26:42,2,42,20,43,2,Blue,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,,2,,20220802_102642.jpg,x,
229,2022-08-02 10:26:46,2,43,20,43,2,Blue,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,,3,,20220802_102646.jpg,x,
230,2022-08-02 10:26:50,2,44,20,43,2,Blue,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,,4,,20220802_102650.jpg,x,
231,2022-08-02 10:28:51,2,45,20,44,2,Blue,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,2.1,1,0,20220802_102851.jpg,y,T2 blue spec redo
232,2022-08-02 10:28:57,2,46,20,44,2,Blue,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,2.1,2,20,20220802_102857.jpg,y,
233,2022-08-02 10:29:10,2,47,20,44,2,Blue,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,2.1,3,40,20220802_102910.jpg,y,
234,2022-08-02 10:29:14,2,48,20,44,2,Blue,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,2.1,4,60,20220802_102914.jpg,y,
235,2022-08-02 10:29:18,2,49,20,44,2,Blue,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,2.1,5,80,20220802_102918.jpg,y,
236,2022-08-02 10:29:24,2,50,20,44,2,Blue,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,2.1,6,120,20220802_102924.jpg,y,
237,2022-08-02 10:29:29,2,51,20,44,2,Blue,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,2.1,7,160,20220802_102929.jpg,y,
238,2022-08-02 10:29:33,2,52,20,44,2,Blue,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,2.1,8,200,20220802_102933.jpg,y,
239,2022-08-02 10:35:44,2,53,19,45,3,White,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,,1,,20220802_103544.jpg,x,T3 white spec
240,2022-08-02 10:35:49,2,54,19,45,3,White,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,,2,,20220802_103549.jpg,x,
241,2022-08-02 10:35:57,2,55,19,45,3,White,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,,3,,20220802_103557.jpg,x,
242,2022-08-02 10:36:02,2,56,19,45,3,White,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,,4,,20220802_103602.jpg,x,
243,2022-08-02 10:36:05,2,57,19,45,3,White,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,,5,,20220802_103605.jpg,x,
244,2022-08-02 10:36:11,2,58,19,45,3,White,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,,6,,20220802_103611.jpg,x,
245,2022-08-02 10:37:32,2,59,19,46,3,White,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,2.5,1,0,20220802_103732.jpg,y,T3 white spec redo
246,2022-08-02 10:37:36,2,60,19,46,3,White,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,2.5,2,20,20220802_103736.jpg,y,
247,2022-08-02 10:37:39,2,61,19,46,3,White,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,2.5,3,40,20220802_103739.jpg,y,
248,2022-08-02 10:37:42,2,62,19,46,3,White,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,2.5,4,60,20220802_103742.jpg,y,
249,2022-08-02 10:37:46,2,63,19,46,3,White,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,2.5,5,80,20220802_103746.jpg,y,
250,2022-08-02 10:37:52,2,64,19,46,3,White,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,2.5,6,120,20220802_103752.jpg,y,
251,2022-08-02 10:37:56,2,65,19,46,3,White,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,2.5,7,160,20220802_103756.jpg,y,
252,2022-08-02 10:37:59,2,66,19,46,3,White,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,2.5,8,200,20220802_103759.jpg,y,
253,2022-08-02 10:41:04,2,67,21,47,3,Green,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,2.5,1,0,20220802_104104.jpg,y,T3 green spec
254,2022-08-02 10:41:08,2,68,21,47,3,Green,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,2.5,2,20,20220802_104108.jpg,y,
255,2022-08-02 10:41:14,2,69,21,47,3,Green,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,2.5,3,40,20220802_104114.jpg,y,
256,2022-08-02 10:41:18,2,70,21,47,3,Green,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,2.5,4,60,20220802_104118.jpg,y,
257,2022-08-02 10:41:21,2,71,21,47,3,Green,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,2.5,5,80,20220802_104121.jpg,y,
258,2022-08-02 10:41:25,2,72,21,47,3,Green,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,2.5,6,120,20220802_104125.jpg,y,
259,2022-08-02 10:41:30,2,73,21,47,3,Green,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,2.5,7,160,20220802_104130.jpg,y,
260,2022-08-02 10:41:35,2,74,21,47,3,Green,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,2.5,8,200,20220802_104135.jpg,y,
261,2022-08-02 10:46:56,2,75,20,48,3,Blue,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,2.0,1,0,20220802_104656.jpg,y,T3 blue spec
262,2022-08-02 10:47:01,2,76,20,48,3,Blue,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,2.0,2,20,20220802_104701.jpg,y,
263,2022-08-02 10:47:06,2,77,20,48,3,Blue,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,2.0,3,40,20220802_104706.jpg,y,
264,2022-08-02 10:47:10,2,78,20,48,3,Blue,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,2.0,4,60,20220802_104710.jpg,y,
265,2022-08-02 10:47:14,2,79,20,48,3,Blue,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,2.0,5,80,20220802_104714.jpg,y,
266,2022-08-02 10:47:20,2,80,20,48,3,Blue,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,2.0,6,120,20220802_104720.jpg,y,
267,2022-08-02 10:47:24,2,81,20,48,3,Blue,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,2.0,7,160,20220802_104724.jpg,y,
268,2022-08-02 10:47:29,2,82,20,48,3,Blue,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,2.0,8,200,20220802_104729.jpg,y,
269,2022-08-02 10:52:35,2,83,21,49,1,Green,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,,1,,20220802_105235.jpg,x,T1 green spec redo Android
270,2022-08-02 10:52:40,2,84,21,49,1,Green,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,,2,,20220802_105240.jpg,x,
271,2022-08-02 10:52:43,2,85,21,49,1,Green,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,,3,,20220802_105243.jpg,x,
272,2022-08-02 10:52:48,2,86,21,49,1,Green,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,,4,,20220802_105248.jpg,x,
273,2022-08-02 10:52:53,2,87,21,49,1,Green,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,,5,,20220802_105253.jpg,x,
274,2022-08-02 10:52:57,2,88,21,49,1,Green,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,,6,,20220802_105257.jpg,x,
275,2022-08-02 10:54:01,2,89,21,50,1,Green,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,2.5,1,0,20220802_105401.jpg,y,"T1 green spec redo Android, redo final"
276,2022-08-02 10:54:05,2,90,21,50,1,Green,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,2.5,2,20,20220802_105405.jpg,y,
277,2022-08-02 10:54:10,2,91,21,50,1,Green,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,2.5,3,40,20220802_105410.jpg,y,
278,2022-08-02 10:54:14,2,92,21,50,1,Green,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,2.5,4,60,20220802_105414.jpg,y,
279,2022-08-02 10:54:18,2,93,21,50,1,Green,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,2.5,5,80,20220802_105418.jpg,y,
280,2022-08-02 10:54:23,2,94,21,50,1,Green,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,2.5,6,120,20220802_105423.jpg,y,
281,2022-08-02 10:54:29,2,95,21,50,1,Green,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,2.5,7,160,20220802_105429.jpg,y,
282,2022-08-02 10:54:34,2,96,21,50,1,Green,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,2.5,8,200,20220802_105434.jpg,y,
283,2022-08-02 00:00:00,2,97,22,51,1,Yellow,5,0,M,STRONG-Blue,Nitrile,Glove,Middle,2.55,1,0,None,y,
